Entity,Code,Year,Gas reserves/production ratio,Coal reserves/production ratio,Oil reserves/production ratio
World,OWID_WRL,1980,49.63064,,29.71294
World,OWID_WRL,1981,50.559677,,31.80971
World,OWID_WRL,1982,51.930416,,34.550396
World,OWID_WRL,1983,52.54895,,35.541157
World,OWID_WRL,1984,50.168175,,35.475735
World,OWID_WRL,1985,50.215622,,36.991226
World,OWID_WRL,1986,52.4675,,40.046406
World,OWID_WRL,1987,51.38213,,41.323154
World,OWID_WRL,1988,51.334763,,43.575897
World,OWID_WRL,1989,55.2872,,42.955597
World,OWID_WRL,1990,55.01452,,42.173615
World,OWID_WRL,1991,57.190353,,45.314014
World,OWID_WRL,1992,58.369595,,44.902817
World,OWID_WRL,1993,58.292072,,44.753307
World,OWID_WRL,1994,57.842945,,44.660168
World,OWID_WRL,1995,57.024998,,44.37065
World,OWID_WRL,1996,55.86273,,44.214363
World,OWID_WRL,1997,57.13984,,44.187054
World,OWID_WRL,1998,57.216637,,43.43606
World,OWID_WRL,1999,57.092957,,49.044518
World,OWID_WRL,2000,57.492493,,47.81641
World,OWID_WRL,2001,62.049538,,47.893196
World,OWID_WRL,2002,61.1968,,50.247536
World,OWID_WRL,2003,59.345047,,48.232735
World,OWID_WRL,2004,57.557476,,46.27413
World,OWID_WRL,2005,55.621883,,45.96558
World,OWID_WRL,2006,54.451042,,45.90605
World,OWID_WRL,2007,55.55977,,47.132378
World,OWID_WRL,2008,54.681805,,49.07637
World,OWID_WRL,2009,57.457043,,51.449123
World,OWID_WRL,2010,57.12007,,53.830482
World,OWID_WRL,2011,55.850014,,54.574608
World,OWID_WRL,2012,54.355446,,53.504257
World,OWID_WRL,2013,53.871693,,53.535465
World,OWID_WRL,2014,53.348293,,52.312782
World,OWID_WRL,2015,51.606144,,50.289574
World,OWID_WRL,2016,51.777004,,50.30701
World,OWID_WRL,2017,51.13065,,51.160645
World,OWID_WRL,2018,49.083374,,50.135586
World,OWID_WRL,2019,47.953667,,50.07503
World,OWID_WRL,2020,48.70466,138.91754,53.632973
World,OWID_WRL,2021,,131.42766,